CAS#,CAS,Substance,PrimaryMoA,MolarMass(g/mol),Tm [oC],Pvap25 [Pa],Sol25 [mg/L],Kow [-],pKa1 [-],pKb1 [-],kdeg(water) [s-1],kdeg(sed) [s-1],kdeg(soil) [s-1],OrigenQuality-Acute EC50,SelectTaxa-Acute EC50,DataType-Acute EC50,RiskEndpoint-Acute EC50,#ToxData-Acute EC50,#Species-Acute EC50,#TaxClass-Acute EC50,10LogSSDMedianConcentration(ug/L)-MuAcute EC50,10LogSSDSlope(ug/L)-SigmaAcute EC50,Remark on acute SSD slope,QualityScore-Acute EC50,Remarks-Acute EC50,OrigenQuality-Chronic NOEC,SelectTaxa-Chronic NOEC,DataType-Chronic NOEC,RiskEndpoint-Chronic NOEC,#ToxData-Chronic NOEC,#Species-Chronic NOEC,#TaxClass-Chronic NOEC,10LogSSDMedianConcentration(ug/L)-MuChronic NOEC,10LogSSDSlope(ug/L)-SigmaChronic NOEC,Remark on chronic SSD slope,QualityScore-Chronic NOEC,Remarks-Chronic NOEC,Filter
85687,85-68-7,benzyl butyl phthalate,Diester toxicity,312.37,61.05,0.0058652,2.2722,69183.0970918937,,,7.50471170443069e-07,1.13259343228749e-07,3.50074333616134e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,53,18,8,2.95,0.512,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,16,12,3,2.1667,0.722,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,85-68-7
117817,117-81-7,bis(2-ethylhexyl) phthalate,Diester toxicity,390.56,63.87,0.00270599,0.018518,245470891.568503,,,4.10780174707445e-07,1.13259343228749e-07,3.50074333616134e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,41,30,9,3.63,1.28,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,25,15,3,2.4114,0.722,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,117-81-7
137304,137-30-4,Zinc dimethyldithiocarbamate,dithiocarbamate,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,37,20,5,2.55,0.748,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,21,27,3,1.8608,0.8743,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,137-30-4
106478,106-47-8,4-Chloroaniline,Polar Narcosis,127.58,24.41,3.15921,1715.5,52.4807460249773,,10,5.13185968260587e-09,1.13259343228749e-07,3.50074333616134e-07,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,55,17,6,3.92,0.784,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,11,32,3,2.0405,0.8399,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,106-47-8
62737,62-73-7,Dichlorvos,organophosphate,220.98,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,186,97,11,2.52,1.45,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,14,27,3,1.7263,1.0128,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,62-73-7
76879,76-87-9,Hydroxytriphenylstannane,multi site inhibitor,367.01,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,71,35,7,1.82,1.2,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,16,12,2,-0.6845,1.06,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,76-87-9
79572,79-57-2,Oxitetracyklin,bactericides,460.44,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,31,15,6,4.34,1.13,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,14,21,5,3.9865,1.289,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,79-57-2
94746,94-74-6,MCPA,phenoxyacetic,200.62,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,40,22,8,4.46,1.11,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,16,5,3.8786,0.8392,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,94-74-6
114261,114-26-1,Propoxur,carbamate,209.25,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,140,53,7,2.88,1.08,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,23,15,3,2.204,1.0655,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,114-26-1
298022,298-02-2,Phorate,organothiophosphate,260.38,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,55,30,6,1.19,1.15,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,19,15,2,-0.6043,1.38,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,298-02-2
298044,298-04-4,Disulfoton,organothiophosphate,274.4,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,73,27,4,2.58,1.18,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,18,18,2,1.416,1.38,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,298-04-4
300765,300-76-5,Naled,organophosphate,380.8,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,63,34,4,2.2,1.29,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,17,27,6,0.6105,1.0128,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,300-76-5
542756,542-75-6,"1,3-dichloropropene",non polar narcosis,110.97,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,38,20,7,3.39,0.512,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,11,24,5,2.7983,0.7024,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,542-75-6
668348,668-34-8,Fentin,multi site inhibitor,350.01,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,45,44,12,1.04,1.43,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,6,18,3,-0.3582,1.06,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,668-34-8
732116,732-11-6,Phosmet,organothiophosphate,317.32,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,74,33,5,2.67,1.35,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,12,2,0.104,1.38,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,732-11-6
738705,738-70-5,Trimetoprim,bactericides,290.33,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,17,11,7,4.7,0.615,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,12,30,3,4.1125,1.289,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,738-70-5
786196,786-19-6,Carbofenthion,organothiophosphate,342.87,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,41,29,5,1.56,1.19,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,17,12,2,0.3223,1.38,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,786-19-6
10453868,10453-86-8,Resmethrin,pyrethroid ester,338.45,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,74,25,4,0.581,0.92,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,16,2,-0.1608,1.3515,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,10453-86-8
14816183,14816-18-3,Phoxim,organothiophosphate,298.3,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,24,17,5,2.3,0.953,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,7,18,2,2.0204,1.38,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,14816-18-3
17804352,17804-35-2,Benomyl,carbamate,290.33,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,88,20,7,3.3,0.959,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,16,15,3,1.8825,1.0655,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,17804-35-2
19666309,19666-30-9,Oxadiazon,unclassified herbicides,345.23,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,35,14,3,3.16,0.511,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,21,36,5,1.2106,0.8105,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,19666-30-9
23950585,23950-58-5,Propyzamide,amide,256.13,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,20,11,3,4.5,0.735,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,12,24,5,2.8528,0.6295,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,23950-58-5
24579735,24579-73-5,Propamocarb,carbamate,188.27,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,29,12,4,5.24,0.268,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,8,12,3,4.4287,1.0655,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,24579-73-5
25057890,25057-89-0,Bentazone,unclassified herbicides,240.28,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,14,11,4,5.12,0.593,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,8,28,5,2.4566,0.8105,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,25057-89-0
25812300,25812-30-0,Gemfibrozil,Cardiovascular Drugs,250.34,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,22,14,8,4.54,0.665,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,11,15,2,1.9383,1.0385,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,25812-30-0
34123596,34123-59-6,Isoproturon,phenylurea,206.29,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,46,34,6,2.94,1.4,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,15,24,4,1.0405,1.0202,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,34123-59-6
39515418,39515-41-8,Fenpropathrin,pyrethroid ester,349.43,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,37,17,5,0.69,1.16,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,8,16,2,-1.5454,1.3515,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,39515-41-8
52645531,52645-53-1,Permethrin,pyrethroid ester,391.29,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,314,104,10,1.08,1.26,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,22,36,5,-0.2998,1.3515,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,52645-53-1
55335063,55335-06-3,Triclopyr,pyridine,256.47,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,28,14,4,3.56,0.888,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,4,12,3,3.3117,0.8498,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,55335-06-3
68359375,68359-37-5,Beta-Cyfluthrin; Cyfluthrin,pyrethroid ester,434.3,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,54,21,5,0.299,1.15,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,22,24,2,-1.5357,1.3515,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,68359-37-5
74223646,74223-64-6,Metsulfuron-methyl,PLANT GROWT REGULATOR,381.37,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,19,16,6,3.64,1.81,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,15,27,7,1.5229,0.9236,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,74223-64-6
76674210,76674-21-0,Flutriafol,conazole,301.3,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,20,15,7,4.06,0.741,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,13,16,3,3.4698,0.6929,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,76674-21-0
82558507,82558-50-7,isoxaben,amide,332.4,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,23,12,6,3.17,0.651,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,11,21,4,3.0166,0.6295,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,82558-50-7
82657043,82657-04-3,Bifenthrin,pyrethroid ester,422.87,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,50,24,4,0.0183,1.26,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,21,24,3,-1.1031,1.3515,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,82657-04-3
83055996,83055-99-6,Bensulfuron-methyl,INHIBITS AMINO ACID SYNTHESIS,410.41,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,23,13,4,5.02,0.366,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,8,15,3,3.9325,0.9539,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,83055-99-6
88671890,88671-89-0,Myclobutanil,conazole,288.79,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,26,12,4,3.42,0.446,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,3,12,2,2.9463,0.6929,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,88671-89-0
91465086,91465-08-6,Lambda-Cyhalothrin,pyrethroid ester,449.86,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,65,24,6,0.0425,1.34,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,20,28,3,-0.3356,1.3515,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,91465-08-6
114369436,114369-43-6,Fenbuconazole,conazole,336.83,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,27,12,4,2.89,0.361,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,25,24,4,2.0499,0.6929,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,114369-43-6
119446683,119446-68-3,Difenoconazole,conazole,406.27,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,21,12,5,2.67,0.34,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,11,12,2,0.3225,0.6929,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,119446-68-3
156052685,156052-68-5,Zoxamide,unclassified fungicides,336.65,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,12,12,6,2.56,0.609,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,20,21,4,1.1618,0.8011,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,156052-68-5
58902,58-90-2,"2,3,4,6-Tetrachlorophenol",Uncoupler of oxidative phosphorylation,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,28,22,4,2.88,0.422,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,9,24,3,2.3918,0.7266,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,58-90-2
88062,88-06-2,"2,4,6-Trichlorophenol",Polar Narcosis,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,48,22,6,3.42,0.525,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,23,16,3,3.1888,0.8399,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,88-06-2
95501,95-50-1,"1,2-Dichlorobenzene",non polar narcosis,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,66,34,9,3.94,0.573,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,5,12,2,2.6747,0.7024,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,95-50-1
95954,95-95-4,"2,4,5-Trichlorophenol",Polar Narcosis,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,23,15,5,3,0.243,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,5,16,3,2.354,0.8399,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,95-95-4
98953,98-95-3,Nitrobenzene,non polar narcosis,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,52,14,5,4.55,0.357,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,13,20,3,3.6778,0.7024,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,98-95-3
206440,206-44-0,Fluoranthene,non polar narcosis,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,36,30,12,2.13,1.02,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,12,24,4,1.4768,0.7024,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,206-44-0
533744,533-74-4,"Tetrahydro-3,5-dimethyl-2H-1,3,5-thiadiazine-2-thione",unclassified fungicides,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,28,14,3,3.08,0.758,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,21,4,1.9689,0.8011,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,533-74-4
608935,608-93-5,"1,2,3,4,5-Pentachlorobenzene",non polar narcosis,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,20,14,7,2.99,0.705,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,7,28,3,2.0262,0.7024,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,608-93-5
639587,639-58-7,Chlorotriphenylstannane,multi site inhibitor,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,17,16,9,0.759,0.857,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,10,18,4,-1.0491,1.06,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,639-58-7
741582,741-58-2,"Phosphorodithioic acid, O,O-Bis(1-methylethyl) S-[2-[(phenylsulfonyl)amino]ethyl] ester",organophosphate,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,25,11,3,2.67,0.42,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,13,21,5,2.2575,1.0128,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,741-58-2
2597037,2597-03-7,fenthoaat,organothiophosphate,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,192,55,6,1.81,1.18,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,17,27,2,2.6954,1.38,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,2597-03-7
8022002,8022-00-2,"Phosphorothioic acid, O-[2-(Ethylthio)ethyl]-O,O-dimethyl ester, Mixt. with S-(2-(Ethylthio)ethyl)-O,O-dimethyl ester ph",organothiophosphate,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,20,14,5,2.86,1.04,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,4,12,1,3.1871,1.38,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,8022-00-2
24307264,24307-26-4,Mepiquat chloride,PLANT GROWT REGULATOR,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,17,11,4,5.42,0.742,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,16,27,6,2.8172,0.9236,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,24307-26-4
56392177,56392-17-7,Metoprolol,Cardiovascular Drugs,,,,,,,,,,,AllData,AllTaxa,Acute EC50 HC50,Strictly Measured GeoAvg Acute EC50,18,13,6,4.67,0.558,,1111,Acute EC50 not extrapolated - Officially enough species (>10) for ERA with SSDs,AllData,AllTaxa,Chronic NOEC HC50,Extrapolated GeoAvg Chronic NOEC,12,12,4,3.8341,1.0385,,1111,Chronic NOEC not extrapolated - Officially enough species (>10) for ERA with SSDs,37350-58-6
